Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
MS4A1	B1, Bp35, CD20, MS4A2	ENSG00000156738	Membrane spanning 4-domains A1	11	60455752-60470760	CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB000015, HPA014341, HPA014391	Enhanced		Supported	Plasma membrane	Breast cancer:4.34e-5 (favourable)	Mixed	Group enriched	15	appendix: 240.0;lymph node: 770.3;spleen: 468.8;tonsil: 789.8	urinary bladder: 38.3	Group enriched	19	Daudi: 534.8;U-698: 258.0
MS4A2	APY, FCER1B, IGER, MS4A1	ENSG00000149534	Membrane spanning 4-domains A2	11	60088261-60098466	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA059967	Enhanced					Mixed	Tissue enhanced		lung: 24.8	gallbladder: 18.4	Cell line enhanced		HEL: 2.4;THP-1: 1.0
MTNR1A	MEL-1A-R	ENSG00000168412	Melatonin receptor 1A	4	186533655-186555567	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level							Not detected	Tissue enhanced		kidney: 2.2;testis: 1.9	colon: 1.2	Not detected		
MTNR1B		ENSG00000134640	Melatonin receptor 1B	11	92969720-92985066	FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level							Not detected	Tissue enhanced		placenta: 1.4	testis: 0.8	Not detected		
MTOR	FLJ44809, FRAP, FRAP1, FRAP2, RAFT1, RAPT1	ENSG00000198793	Mechanistic target of rapamycin	1	11106535-11262507	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB069425, HPA071227	Approved		Approved	Vesicles<br>Cytosol	Renal cancer:1.49e-5 (favourable)	Expressed in all	Expressed in all			testis: 62.2	Expressed in all		
MTR	cblG	ENSG00000116984	5-methyltetrahydrofolate-homocysteine methyltransferase	1	236795281-236903981	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA044474, HPA054915	Approved		Supported	Cytosol	Thyroid cancer:5.75e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 28.7	Expressed in all		
MTTP	ABL, MTP	ENSG00000138823	Microsomal triglyceride transfer protein	4	99563761-99623999	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA051170, HPA054862	Uncertain		Approved	Cytosol		Tissue enriched	Group enriched	16	duodenum: 236.3;liver: 133.9;small intestine: 292.6	testis: 13.5	Cell line enhanced		AF22: 10.2;Hep G2: 8.0
MUT		ENSG00000146085	Methylmalonyl-CoA mutase	6	49430360-49463191	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA035971, HPA035972	Enhanced		Approved	Mitochondria<br>Cytosol	Renal cancer:8.71e-13 (favourable)	Expressed in all	Expressed in all			liver: 104.1	Expressed in all		
NFKB1	KBF1, NF-kappaB, NF-kB1, NFkappaB, NFKB-p50, p105, p50	ENSG00000109320	Nuclear factor kappa B subunit 1	4	102501329-102617302	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors	Evidence at protein level	CAB004031, HPA027305	Enhanced		Supported	Nucleoplasm<br>Cytosol	Renal cancer:1.76e-4 (favourable)	Expressed in all	Expressed in all			bone marrow: 56.9	Expressed in all		
NISCH	I-1, IRAS, KIAA0975	ENSG00000010322	Nischarin	3	52455118-52493071	FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA023189	Approved				Pancreatic cancer:1.91e-4 (favourable)	Expressed in all	Expressed in all			testis: 96.0	Expressed in all		
NNMT		ENSG00000166741	Nicotinamide N-methyltransferase	11	114257787-114313285	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA059180	Approved		Approved	Nucleoplasm<br>Golgi apparatus<br>Cytosol	Renal cancer:1.02e-6 (unfavourable), Stomach cancer:1.75e-4 (unfavourable), Head and neck cancer:2.07e-4 (unfavourable)	Expressed in all	Tissue enhanced		liver: 197.2	adipose tissue: 107.8	Cell line enhanced		HSkMC: 300.0;RPTEC TERT1: 491.7
NOS2	HEP-NOS, iNOS, NOS, NOS2A	ENSG00000007171	Nitric oxide synthase 2	17	27756766-27800499	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB002014	Approved					Tissue enhanced	Group enriched	5	appendix: 18.9;colon: 7.0;duodenum: 12.3;rectum: 9.8;small intestine: 24.1;urinary bladder: 6.5	smooth muscle: 2.5	Group enriched	8	CACO-2: 13.0;SCLC-21H: 14.7
NOS3	ECNOS, eNOS	ENSG00000164867	Nitric oxide synthase 3	7	150990995-151014588	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB002168	Enhanced				Renal cancer:3.63e-4 (unfavourable)	Expressed in all	Tissue enriched	7	spleen: 71.8	adipose tissue: 10.6	Cell line enhanced		BEWO: 22.3;HUVEC TERT2: 37.6;TIME: 67.7
NOXO1	P41NOXA, P41NOXB, P41NOXC, SH3PXD5, SNX28	ENSG00000196408	NADPH oxidase organizer 1	16	1978917-1984192	FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA071540	Enhanced					Not detected	Tissue enhanced		appendix: 6.3;colon: 7.4;rectum: 6.5	duodenum: 3.3	Cell line enhanced		CAPAN-2: 2.4;HaCaT: 1.4;SCLC-21H: 1.6
NPC1L1		ENSG00000015520	NPC1 like intracellular cholesterol transporter 1	7	44512535-44541315	FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB070127, CAB070128	Enhanced					Group enriched	Tissue enhanced		duodenum: 57.1;small intestine: 57.9	liver: 14.2	Group enriched	7	CACO-2: 5.9;Hep G2: 12.2;SCLC-21H: 17.4
NPR1	ANPa, ANPRA, GUCY2A, NPRA	ENSG00000169418	Natriuretic peptide receptor 1	1	153678637-153693992	Enzymes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	HPA031087			Approved	Nucleus<br>Nucleoli<br>Plasma membrane	Pancreatic cancer:2.49e-4 (favourable), Endometrial cancer:3.97e-4 (unfavourable)	Expressed in all	Tissue enhanced		adipose tissue: 72.0;fallopian tube: 58.2	placenta: 25.4	Cell line enriched	6	ASC diff: 107.2
NPR2	AMDM, ANPb, ANPRB, GUCY2B, NPRB	ENSG00000159899	Natriuretic peptide receptor 2	9	35792154-35809732	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level							Expressed in all	Mixed			endometrium: 31.1	Cell line enhanced		ASC diff: 37.7
NR1H4	FXR, HRR-1, HRR1, RIP14	ENSG00000012504	Nuclear receptor subfamily 1 group H member 4	12	100473708-100564413	Disease related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors, Transporters	Evidence at protein level	HPA047699			Approved	Nucleoplasm		Group enriched	Tissue enhanced		liver: 66.6;small intestine: 44.4	kidney: 29.9	Group enriched	26	Hep G2: 20.2;HHSteC: 14.1;RPTEC TERT1: 34.8
NR1I2	BXR, ONR1, PAR2, PXR, SXR	ENSG00000144852	Nuclear receptor subfamily 1 group I member 2	3	119780484-119818485	FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA029309, HPA055121, HPA073926			Enhanced	Nucleoplasm		Group enriched	Group enriched	10	colon: 10.3;duodenum: 27.2;gallbladder: 6.4;liver: 20.0;rectum: 10.7;small intestine: 30.0	stomach: 1.7	Group enriched	7	Hep G2: 9.8;RH-30: 3.3
NR3C1	GR, GRL	ENSG00000113580	Nuclear receptor subfamily 3 group C member 1	5	143277931-143435512	Disease related genes, FDA approved drug targets, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004248, CAB010435	Supported		Enhanced	Nucleoplasm<br>Mitochondria<br>Cytosol	Renal cancer:1.72e-6 (unfavourable), Endometrial cancer:3.64e-5 (unfavourable)	Expressed in all	Expressed in all			placenta: 67.0	Mixed		
NR3C2	MLR, MR	ENSG00000151623	Nuclear receptor subfamily 3 group C member 2	4	148078762-148444698	Disease related genes, FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB009155, HPA074979	Enhanced		Supported	Nucleoplasm	Renal cancer:3.10e-11 (favourable)	Mixed	Mixed			thyroid gland: 32.3	Cell line enhanced		HUVEC TERT2: 4.9;Karpas-707: 4.5;PC-3: 5.4;RPTEC TERT1: 5.9;TIME: 6.4
NTRK1	MTC, TRK, TRKA	ENSG00000198400	Neurotrophic receptor tyrosine kinase 1	1	156815640-156881850	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	CAB004606, HPA035799, HPA076570	Approved		Uncertain	Vesicles<br>Cytosol		Tissue enhanced	Tissue enriched	6	adrenal gland: 9.5	testis: 1.6	Cell line enhanced		HDLM-2: 10.4;HEL: 11.9;HMC-1: 69.1;SH-SY5Y: 19.1
NTSR2	NTR2	ENSG00000169006	Neurotensin receptor 2	2	11658178-11670164	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level							Tissue enriched	Tissue enriched	25	cerebral cortex: 25.0	ovary: 0.9	Not detected		
ODC1	ODC	ENSG00000115758	Ornithine decarboxylase 1	2	10439968-10448504	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001536, CAB035996	Approved		Approved	Plasma membrane<br>Cytosol	Liver cancer:3.07e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 242.0	Expressed in all		
OPRD1		ENSG00000116329	Opioid receptor delta 1	1	28812142-28871267	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA070831	Approved					Tissue enhanced	Tissue enhanced		cerebral cortex: 2.6	adrenal gland: 0.8	Group enriched	12	RH-30: 15.8;SCLC-21H: 7.6;SH-SY5Y: 6.9;WM-115: 21.7
OPRK1	KOR, OPRK	ENSG00000082556	Opioid receptor kappa 1	8	53225716-53251697	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	CAB022595, HPA067549	Uncertain		Supported	Nucleus<br>Plasma membrane<br>Cytosol		Tissue enhanced	Group enriched	7	cerebral cortex: 3.6;prostate: 2.8;testis: 1.3	placenta,skeletal muscle: 0.3	Group enriched	7	AF22: 4.5;U-937: 17.3
OPRM1	MOR1	ENSG00000112038	Opioid receptor mu 1	6	154010496-154246867	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	HPA014509, HPA067435	Enhanced	Supported				Not detected	Tissue enhanced		testis: 4.1	adrenal gland,esophagus: 1.2	Cell line enriched	29	SH-SY5Y: 7.7
OXTR		ENSG00000180914	Oxytocin receptor	3	8750408-8769628	FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level							Mixed	Tissue enriched	13	breast: 65.4	fallopian tube: 4.9	Cell line enhanced		BJ: 357.1;BJ hTERT+: 104.6;BJ hTERT+ SV40 Large T+: 111.8;fHDF/TERT166: 330.6
P2RX4	P2X4	ENSG00000135124	Purinergic receptor P2X 4	12	121209857-121234106	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA039494	Enhanced		Approved	Actin filaments<br>Cytosol	Endometrial cancer:6.30e-10 (favourable)	Expressed in all	Mixed			placenta: 33.8	Mixed		
P2RY12	HORK3, P2Y12, SP1999	ENSG00000169313	Purinergic receptor P2Y12	3	151337380-151384812	Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	HPA013796, HPA014518	Enhanced					Tissue enriched	Tissue enriched	6	cerebral cortex: 83.8	lymph node: 13.1	Not detected		
P2RY2	P2U	ENSG00000175591	Purinergic receptor P2Y2	11	73218298-73236352	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	CAB022642	Uncertain		Uncertain	Cytosol	Pancreatic cancer:2.19e-5 (unfavourable)	Mixed	Tissue enhanced		esophagus: 18.9	skeletal muscle: 14.9	Cell line enhanced		HaCaT: 31.0;HL-60: 27.2;THP-1: 53.1
PAH	PH	ENSG00000171759	Phenylalanine hydroxylase	12	102836885-102958410	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA028407, HPA031642	Enhanced		Approved	Endoplasmic reticulum<br>Vesicles	Liver cancer:4.30e-4 (favourable)	Tissue enriched	Tissue enhanced		kidney: 504.6;liver: 722.4	gallbladder: 125.9	Cell line enriched	26	Hep G2: 161.3
PARP1	ADPRT, PARP, PPOL	ENSG00000143799	Poly(ADP-ribose) polymerase 1	1	226360691-226408079	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB000147, CAB003839, CAB003840, HPA045168, CAB075726, CAB075727	Supported	Supported	Enhanced	Nucleus	Renal cancer:1.35e-5 (unfavourable), Liver cancer:3.40e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 198.4	Expressed in all		
PARP2	ADPRTL2	ENSG00000129484	Poly(ADP-ribose) polymerase 2	14	20343582-20357905	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA052003	Approved		Approved	Nucleus<br>Nucleoli	Liver cancer:6.48e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 46.3	Expressed in all		
PARP3	ADPRT3, ADPRTL3, hPARP-3, IRT1, pADPRT-3	ENSG00000041880	Poly(ADP-ribose) polymerase family member 3	3	51942345-51948867	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA067657	Supported				Renal cancer:1.25e-8 (favourable), Breast cancer:6.39e-5 (favourable)	Expressed in all	Mixed			parathyroid gland: 53.0	Expressed in all		
PCSK9	FH3, HCHOLA3, NARC-1	ENSG00000169174	Proprotein convertase subtilisin/kexin type 9	1	55039548-55064852	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level						Urothelial cancer:2.40e-4 (unfavourable)	Mixed	Tissue enhanced		liver: 6.1;lung: 11.1	colon: 3.4	Cell line enhanced		A-431: 72.0;HaCaT: 94.8;HeLa: 62.7;RPTEC TERT1: 39.4
PDCD1	CD279, hSLE1, PD-1, PD1, SLEB2	ENSG00000188389	Programmed cell death 1	2	241849881-241858908	CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA035981, CAB038418, CAB076386	Enhanced				Renal cancer:3.48e-7 (unfavourable), Endometrial cancer:9.44e-5 (favourable)	Mixed	Tissue enhanced		lymph node: 12.0	appendix: 3.3	Group enriched	13	MOLT-4: 4.6;RPMI-8226: 4.0
PDE10A		ENSG00000112541	Phosphodiesterase 10A	6	165327287-165986603	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB045998, HPA047200	Supported				Renal cancer:4.44e-7 (unfavourable)	Mixed	Tissue enhanced		thyroid gland: 14.5	testis: 12.2	Cell line enhanced		LHCN-M2: 14.4;SH-SY5Y: 11.1;TIME: 14.8
PDE3A	CGI-PDE	ENSG00000172572	Phosphodiesterase 3A	12	20369245-20684381	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA014492	Uncertain		Supported	Cytosol	Renal cancer:1.72e-6 (unfavourable)	Expressed in all	Mixed			heart muscle: 35.4	Group enriched	8	AF22: 15.4;HEL: 26.9;HeLa: 53.3;HUVEC TERT2: 11.9;SH-SY5Y: 31.0;U-138 MG: 22.1
PDE4A	DPDE2	ENSG00000065989	Phosphodiesterase 4A	19	10416773-10469631	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB017632, HPA043310, HPA076091	Uncertain		Supported	Plasma membrane		Expressed in all	Mixed			parathyroid gland: 34.0	Cell line enhanced		HMC-1: 32.2
PDE4B	DPDE4	ENSG00000184588	Phosphodiesterase 4B	1	65792514-66374579	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA003005	Uncertain		Approved	Golgi apparatus<br>Cytosol	Renal cancer:5.04e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 67.0	Cell line enhanced		AN3-CA: 57.3;HUVEC TERT2: 77.6;NTERA-2: 56.0
PDE4C	DPDE1	ENSG00000105650	Phosphodiesterase 4C	19	18207961-18255419	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA048975	Enhanced					Mixed	Mixed			endometrium: 7.4	Cell line enhanced		BEWO: 3.8;U-87 MG: 5.5
PDE4D	DPDE3	ENSG00000113448	Phosphodiesterase 4D	5	58969038-60522120	Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA045895	Approved		Approved	Nuclear membrane<br>Plasma membrane<br>Cytosol	Renal cancer:4.00e-5 (favourable)	Mixed	Mixed			bone marrow: 47.7	Cell line enhanced		A549: 56.1;AN3-CA: 65.2;HeLa: 68.4
PDE5A		ENSG00000138735	Phosphodiesterase 5A	4	119494395-119628991	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA004729, HPA012873	Approved		Approved	Cytosol	Urothelial cancer:1.17e-4 (unfavourable), Cervical cancer:5.20e-4 (favourable)	Expressed in all	Mixed			prostate: 97.7	Cell line enhanced		BJ hTERT+: 38.5;HHSteC: 55.3
PDE7A	HCP1	ENSG00000205268	Phosphodiesterase 7A	8	65717510-65842322	Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB018770, HPA027340	Approved				Renal cancer:1.35e-4 (unfavourable), Liver cancer:5.64e-4 (unfavourable)	Expressed in all	Expressed in all			lymph node: 68.9	Expressed in all		
PDE7B		ENSG00000171408	Phosphodiesterase 7B	6	135851696-136195574	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	HPA023967	Uncertain		Approved	Nucleoplasm	Renal cancer:1.59e-4 (favourable)	Mixed	Mixed			ovary: 16.2	Cell line enhanced		EFO-21: 15.3;HSkMC: 16.3;U-2197: 10.6
PDGFRA	CD140a, GAS9, PDGFR2	ENSG00000134853	Platelet derived growth factor receptor alpha	4	54229097-54298247	Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	HPA004947, CAB018143	Supported		Supported	Nucleus<br>Plasma membrane<br>Cell Junctions	Renal cancer:9.79e-6 (unfavourable), Head and neck cancer:9.33e-4 (favourable)	Expressed in all	Expressed in all			ovary: 222.6	Cell line enhanced		ASC diff: 306.3;ASC TERT1: 145.3;BJ hTERT+: 217.9;fHDF/TERT166: 147.1;HHSteC: 126.5;HSkMC: 276.0
